Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Velocidade média,Velocidade máxima,Ganho de elevação,Perda da elevação,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de repetições,Total de conjuntos,Tempo de escalada,Tempo no fundo,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida em esteira,2021-06-17 17:57:56,false,"8k - 90 a 95%","8,02","555","00:49:54","159","172","4,1","157","161","6:13","4:59","--","--","1,03","0,0","0,0","0,0","0,0","0,0","--","--","49:54","0:00","0,0","0:00","Não","00:07.70","9","0,0","00:49:53","00:49:54","--","--"
Corrida em esteira,2021-06-15 18:11:22,false,"10 x 300m moderado/forte com 100","7,01","410","00:42:34","147","172","3,3","155","161","6:04","4:38","--","--","1,06","0,0","0,0","0,0","0,0","0,0","--","--","42:34","0:00","0,0","0:00","Não","00:03.37","24","0,0","00:42:26","00:42:34","--","--"
Corrida,2021-06-13 08:46:56,false,"Blumenau Corrida","18,40","1.332","02:00:01","167","192","5,0","154","244","6:31","5:31","409","377","1,00","0,0","0,0","0,0","0,0","0,0","--","--","2:00:01","0:00","0,0","0:00","Não","02:23.79","19","0,0","01:59:49","02:00:01","17","160"
Treino de força,2021-06-11 06:48:51,false,"Força","0,00","310","01:03:07","114","146","1,4","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","209","28","1:03:07","0:00","0,0","0:00","Não","01:03:07.04","1","0,0","00:28:09","01:03:07","--","--"
Corrida em esteira,2021-06-10 18:33:53,false,"10k - 90 a 95%","10,01","693","01:01:09","165","179","5,0","158","167","6:06","4:38","--","--","1,04","0,0","0,0","0,0","0,0","0,0","--","--","1:01:09","0:00","0,0","0:00","Não","00:04.95","11","0,0","01:00:22","01:01:09","--","--"
Corrida em esteira,2021-06-08 18:07:33,false,"6 x 500m com intervalo 2min para","7,20","471","00:54:02","144","184","3,1","130","170","7:30","4:26","--","--","0,93","0,0","0,0","0,0","0,0","0,0","--","--","54:02","0:00","0,0","0:00","Não","00:03.37","17","0,0","00:42:51","00:54:02","--","--"
Treino de força,2021-06-07 06:43:42,false,"Força","0,00","262","00:58:08","110","150","1,5","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","332","28","58:08","0:00","0,0","0:00","Não","58:07.55","1","0,0","00:27:58","00:58:08","--","--"
Corrida,2021-06-06 08:52:54,false,"Blumenau Corrida","13,67","1.054","01:30:01","174","205","5,0","143","244","6:35","4:15","327","335","1,07","0,0","0,0","0,0","0,0","0,0","--","--","1:30:01","0:00","0,0","0:00","Não","04:05.35","14","0,0","01:29:48","01:30:01","16","123"
Corrida,2021-06-03 07:25:17,false,"Blumenau - 10 x 400 - intervalo 1 minuto","8,65","600","00:57:16","159","183","4,6","146","249","6:37","3:53","22","33","1,03","0,0","0,0","0,0","0,0","0,0","--","--","57:16","0:00","0,0","0:00","Não","00:04.31","25","0,0","00:53:53","00:57:16","7","25"
Corrida,2021-06-01 06:21:28,false,"Blumenau - 10k - 90 a 95%","10,02","706","01:01:55","168","190","5,0","156","170","6:11","5:15","76","76","1,04","0,0","0,0","0,0","0,0","0,0","--","--","1:01:55","0:00","0,0","0:00","Não","00:06.79","11","0,0","01:01:52","01:01:55","12","42"
Treino de força,2021-05-31 06:44:06,false,"Força","0,00","242","00:57:44","110","157","1,6","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","368","31","57:44","0:00","0,0","0:00","Não","57:43.69","1","0,0","00:27:05","00:57:54","--","--"
Corrida,2021-05-30 08:30:06,false,"Blumenau Corrida","16,01","1.056","01:42:50","163","185","5,0","154","168","6:25","5:22","273","282","1,01","0,0","0,0","0,0","0,0","0,0","--","--","1:42:50","0:00","0,0","0:00","Não","00:02.42","17","0,0","01:42:46","01:42:50","17","114"
Treino de força,2021-05-28 06:46:37,false,"Força","0,00","251","01:00:10","113","137","1,3","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","299","45","1:00:10","0:00","0,0","0:00","Não","01:00:09.53","1","0,0","00:25:43","01:00:10","--","--"
Corrida,2021-05-27 06:23:46,false,"Blumenau Corrida","10,00","841","01:03:19","165","183","--","--","--","6:20","3:00","85","89","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:03:19","0:00","0,0","0:00","Não","00:01.41","11","0,0","01:02:18","01:03:19","14","40"
Corrida,2021-05-25 17:46:46,false,"Blumenau Corrida","9,21","742","00:59:57","159","182","--","--","--","6:31","0:52","32","32","0,00","0,0","0,0","0,0","0,0","0,0","--","--","59:57","0:00","0,0","0:00","Não","00:56.73","14","0,0","00:59:18","00:59:57","10","25"
Corrida,2021-05-20 06:25:31,false,"Blumenau Corrida","10,08","826","01:00:51","167","184","--","--","--","6:02","4:27","37","50","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:51","0:00","0,0","0:00","Não","02:59.52","9","0,0","01:00:49","01:00:51","9","26"
Corrida,2021-05-15 07:42:16,false,"Blumenau Corrida","11,24","953","01:12:08","164","179","--","--","--","6:25","1:45","125","131","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:12:08","0:00","0,0","0:00","Não","01:30.82","12","0,0","01:12:04","01:12:08","15","59"
Corrida,2021-05-13 17:33:02,false,"Blumenau Corrida","9,01","701","00:54:32","162","187","--","--","--","6:03","3:57","29","43","0,00","0,0","0,0","0,0","0,0","0,0","--","--","54:32","0:00","0,0","0:00","Não","00:02.00","10","0,0","00:54:31","00:54:32","12","28"
Corrida,2021-05-08 07:35:22,false,"Blumenau Corrida","16,15","1.374","01:40:01","168","181","--","--","--","6:11","1:00","255","270","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:40:01","0:00","0,0","0:00","Não","00:54.30","17","0,0","01:39:55","01:40:01","20","117"
Corrida,2021-05-06 06:48:38,false,"Blumenau Corrida","7,00","573","00:43:19","164","176","--","--","--","6:11","5:39","35","36","0,00","0,0","0,0","0,0","0,0","0,0","--","--","43:19","0:00","0,0","0:00","Não","00:00.63","8","0,0","00:43:17","00:43:19","12","29"
Corrida,2021-05-04 17:46:36,false,"Blumenau Corrida","10,00","863","01:02:00","169","185","--","--","--","6:12","5:16","64","64","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:02:00","0:00","0,0","0:00","Não","06:00.32","10","0,0","01:01:57","01:02:00","10","34"
Corrida,2021-04-29 18:01:38,false,"Blumenau Corrida","10,00","826","01:02:14","165","181","--","--","--","6:13","5:01","57","51","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:02:14","0:00","0,0","0:00","Não","02:40.24","11","0,0","01:02:12","01:02:14","10","34"
Corrida,2021-04-27 06:47:04,false,"Blumenau Corrida","8,00","649","00:50:18","163","181","--","--","--","6:17","4:41","23","18","0,00","0,0","0,0","0,0","0,0","0,0","--","--","50:18","0:00","0,0","0:00","Não","00:59.48","14","0,0","00:44:34","00:50:18","12","22"
Corrida,2021-04-24 07:32:10,false,"Blumenau Corrida","15,01","1.358","01:34:50","172","187","--","--","--","6:19","3:28","205","198","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:34:50","0:00","0,0","0:00","Não","00:02.74","16","0,0","01:34:47","01:34:50","14","60"
Corrida,2021-04-20 06:35:48,false,"Blumenau Corrida","8,01","649","00:48:55","165","229","--","--","--","6:06","2:25","92","92","0,00","0,0","0,0","0,0","0,0","0,0","--","--","48:55","0:00","0,0","0:00","Não","00:02.84","9","0,0","00:48:52","00:48:55","10","37"
Corrida,2021-04-17 07:15:56,false,"Blumenau Corrida","10,01","877","00:58:41","176","184","--","--","--","5:52","4:01","32","39","0,00","0,0","0,0","0,0","0,0","0,0","--","--","58:41","0:00","0,0","0:00","Não","00:02.73","11","0,0","00:58:39","00:58:41","10","26"
Corrida,2021-04-13 19:10:35,false,"Blumenau Corrida","5,03","414","00:34:56","156","180","--","--","--","6:56","4:00","103","102","0,00","0,0","0,0","0,0","0,0","0,0","--","--","34:56","0:00","0,0","0:00","Não","02:19.44","8","0,0","00:29:10","00:34:56","11","25"
Corrida,2021-04-13 18:17:18,false,"Corrida","0,01","--","00:00:06,0","66","70","1,0","60","120","13:13","7:28","--","--","1,26","0,0","0,0","0,0","0,0","0,0","--","--","0:06,0","0:00","0,0","0:00","Não","00:01.16","2","0,0","00:00:03","00:00:18,8","--","--"
Corrida,2021-04-10 07:20:00,false,"Blumenau - Run Workout","7,01","471","00:38:21","179","190","4,6","166","174","5:28","5:12","3","17","1,10","0,0","0,0","0,0","0,0","0,0","--","--","38:21","0:00","0,0","0:00","Não","00:04.80","2","0,0","00:38:21","00:38:21","12","28"
