Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Velocidade média,Velocidade máxima,Ganho de elevação,Perda da elevação,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de repetições,Total de conjuntos,Tempo de escalada,Tempo no fundo,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2021-01-16 07:10:16,false,"Blumenau Corrida","5,91","383","00:37:58","169","184","4,8","150","168","6:26","4:47","67","57","1,04","0,0","0,0","0,0","0,0","0,0","--","--","37:58","0:00","0,0","0:00","Não","05:47.76","6","0,0","00:37:57","00:37:58","22","60"
Corrida,2021-01-14 06:37:16,false,"Blumenau Corrida","8,01","521","00:51:12","172","186","5,0","149","170","6:23","5:27","44","55","1,05","0,0","0,0","0,0","0,0","0,0","--","--","51:12","0:00","0,0","0:00","Não","00:05.40","9","0,0","00:50:56","00:51:12","9","49"
Corrida,2021-01-12 07:08:13,false,"Blumenau Corrida","8,01","550","00:51:24","177","195","5,0","147","170","6:25","5:12","76","83","1,06","0,0","0,0","0,0","0,0","0,0","--","--","51:24","0:00","0,0","0:00","Não","00:02.05","9","0,0","00:51:22","00:51:24","17","51"
Corrida,2020-12-31 10:06:13,false,"Corrida","8,01","601","00:48:30","--","--","--","156","164","6:03","4:59","--","--","1,06","0,0","0,0","0,0","0,0","0,0","--","--","48:30","0:00","0,0","0:00","Não","00:02.35","9","0,0","00:48:28","00:48:30","--","--"
Corrida,2020-12-26 06:53:23,false,"Corrida","12,01","900","01:14:12","--","--","--","153","164","6:11","5:03","--","--","1,06","0,0","0,0","0,0","0,0","0,0","--","--","1:14:12","0:00","0,0","0:00","Não","00:04.68","13","0,0","01:14:10","01:14:12","--","--"
Corrida,2020-12-22 06:37:37,false,"Blumenau - 10 x 400 - intervalo 1 minuto","8,45","585","01:07:14","--","--","--","126","181","7:57","3:41","13","17","0,98","0,0","0,0","0,0","0,0","0,0","--","--","1:07:14","0:00","0,0","0:00","Não","01:00.00","23","0,0","00:58:50","01:07:14","12","29"
Corrida,2020-12-20 20:48:46,false,"Corrida","3,01","156","00:34:40","--","--","--","112","130","11:31","9:30","--","--","0,78","0,0","0,0","0,0","0,0","0,0","--","--","34:40","0:00","0,0","0:00","Não","00:07.04","4","0,0","00:34:40","00:34:40","--","--"
Corrida,2020-12-17 06:37:53,false,"Blumenau - 8 x 500m com intervalo 2min caminhando","7,42","515","00:52:59","--","--","--","138","240","7:08","3:44","15","17","0,98","0,0","0,0","0,0","0,0","0,0","--","--","52:59","0:00","0,0","0:00","Não","02:00.00","18","0,0","00:52:55","00:52:59","12","29"
Corrida,2020-12-15 06:28:31,false,"Corrida","8,00","565","00:58:13","--","--","--","133","164","7:16","5:31","--","--","1,02","0,0","0,0","0,0","0,0","0,0","--","--","58:13","0:00","0,0","0:00","Não","00:05.71","9","0,0","00:58:11","00:58:13","--","--"
Corrida,2020-12-13 07:22:58,false,"Gaspar Corrida","13,44","885","01:52:17","--","--","--","127","246","8:21","2:42","449","496","0,94","0,0","0,0","0,0","0,0","0,0","--","--","1:52:17","0:00","0,0","0:00","Não","03:07.57","14","0,0","01:48:39","01:52:17","90","374"
Corrida,2020-12-10 06:43:18,false,"Blumenau Corrida","7,34","505","00:54:00","--","--","--","139","175","7:22","3:42","19","21","0,95","0,0","0,0","0,0","0,0","0,0","--","--","54:00","0:00","0,0","0:00","Não","12:23.58","3","0,0","00:54:00","00:54:00","12","28"
Corrida,2020-12-08 06:34:04,false,"Blumenau Corrida","7,38","496","00:52:47","--","--","--","139","173","7:09","3:41","15","17","0,97","0,0","0,0","0,0","0,0","0,0","--","--","52:47","0:00","0,0","0:00","Não","01:00.00","8","0,0","00:52:25","00:53:22","12","29"
Corrida,2020-12-05 07:09:03,false,"Blumenau Corrida","7,54","536","00:51:05","--","--","--","134","246","6:46","4:18","22","27","1,20","0,0","0,0","0,0","0,0","0,0","--","--","51:05","0:00","0,0","0:00","Não","04:00.00","8","0,0","00:44:04","00:51:33","12","30"
Corrida,2020-12-01 18:34:24,false,"Corrida","6,79","494","00:40:03","--","--","--","155","161","5:54","5:19","--","--","1,09","0,0","0,0","0,0","0,0","0,0","--","--","40:03","0:00","0,0","0:00","Não","04:33.26","7","0,0","00:40:02","00:40:03","--","--"
Corrida,2020-11-28 06:10:16,false,"Ilhota Corrida","22,01","1.437","02:50:34","--","--","--","124","182","7:45","4:20","858","861","1,04","0,0","0,0","0,0","0,0","0,0","--","--","2:50:34","0:00","0,0","0:00","Não","00:05.52","23","0,0","02:49:22","02:50:34","209","514"
Corrida,2020-11-26 06:26:45,false,"Blumenau Corrida","10,12","728","01:02:06","--","--","--","158","171","6:08","4:59","45","50","1,03","0,0","0,0","0,0","0,0","0,0","--","--","1:02:06","0:00","0,0","0:00","Não","01:21.53","11","0,0","01:02:04","01:02:06","12","41"
Corrida,2020-11-24 06:51:15,false,"Blumenau Corrida","10,43","700","01:13:12","--","--","--","134","173","7:01","3:59","32","35","1,02","0,0","0,0","0,0","0,0","0,0","--","--","1:13:12","0:00","0,0","0:00","Não","01:00.00","26","0,0","01:10:21","01:13:12","12","28"
Corrida,2020-11-21 07:31:30,false,"Blumenau Corrida","10,01","694","01:03:31","--","--","--","151","168","6:21","4:08","143","144","1,04","0,0","0,0","0,0","0,0","0,0","--","--","1:03:31","0:00","0,0","0:00","Não","00:01.88","11","0,0","01:03:27","01:03:31","20","78"
Corrida,2020-11-19 06:58:23,false,"Corrida","5,01","365","00:29:34","--","--","--","157","167","5:54","5:18","--","--","1,08","0,0","0,0","0,0","0,0","0,0","--","--","29:34","0:00","0,0","0:00","Não","00:02.80","6","0,0","00:29:33","00:29:34","--","--"
Corrida,2020-11-17 06:39:41,false,"Blumenau - 2 x 5km progressivo","9,82","713","00:57:25","--","--","--","160","171","5:51","3:50","42","45","1,06","0,0","0,0","0,0","0,0","0,0","--","--","57:25","0:00","0,0","0:00","Não","00:03.08","11","0,0","00:57:23","00:57:37","12","41"
Corrida,2020-11-15 07:56:58,false,"Blumenau Corrida","12,01","843","01:20:55","--","--","--","151","169","6:44","1:30","178","170","0,98","0,0","0,0","0,0","0,0","0,0","--","--","1:20:55","0:00","0,0","0:00","Não","00:01.65","13","0,0","01:19:30","01:20:55","-6","78"
Corrida,2020-11-12 18:45:39,false,"8 x 800m com intervalo 2min caminhando","8,84","607","00:59:01","--","--","--","143","168","6:41","5:01","--","--","1,03","0,0","0,0","0,0","0,0","0,0","--","--","59:01","0:00","0,0","0:00","Não","00:06.03","18","0,0","00:58:57","00:59:01","--","--"
Corrida,2020-11-10 06:36:49,false,"Corrida","10,03","732","01:03:26","--","--","--","156","164","6:19","5:38","--","--","1,02","0,0","0,0","0,0","0,0","0,0","--","--","1:03:26","0:00","0,0","0:00","Não","00:12.12","11","0,0","01:03:24","01:03:26","--","--"
Corrida,2020-11-07 07:35:14,false,"Blumenau - 10 x 200m SUBIDA","9,66","642","01:10:38","--","--","--","144","175","7:19","4:55","176","179","0,94","0,0","0,0","0,0","0,0","0,0","--","--","1:10:38","0:00","0,0","0:00","Não","01:06.85","22","0,0","01:10:31","01:11:49","12","40"
Corrida,2020-11-05 06:39:04,false,"Blumenau Corrida","10,01","720","00:58:46","--","--","--","161","171","5:52","5:12","71","75","1,05","0,0","0,0","0,0","0,0","0,0","--","--","58:46","0:00","0,0","0:00","Não","00:02.86","11","0,0","00:58:44","00:58:46","12","56"
Corrida,2020-10-31 07:40:01,false,"Blumenau Corrida","7,01","511","00:42:09","--","--","--","161","170","6:01","5:04","75","77","1,03","0,0","0,0","0,0","0,0","0,0","--","--","42:09","0:00","0,0","0:00","Não","00:03.85","8","0,0","00:42:07","00:42:09","20","63"
Corrida,2020-10-29 06:43:47,false,"Blumenau Corrida","7,01","513","00:41:18","--","--","--","159","170","5:54","5:13","53","54","1,07","0,0","0,0","0,0","0,0","0,0","--","--","41:18","0:00","0,0","0:00","Não","00:02.58","8","0,0","00:41:17","00:41:18","12","56"
Corrida,2020-10-27 19:11:01,false,"2 x 3km com intervalo 3min caminhando","7,56","539","00:46:06","--","--","--","151","170","6:06","4:59","--","--","1,07","0,0","0,0","0,0","0,0","0,0","--","--","46:06","0:00","0,0","0:00","Não","00:50.52","6","0,0","00:45:41","00:46:06","--","--"
Corrida,2020-10-24 07:58:44,false,"Blumenau Corrida","11,58","834","01:14:13","--","--","--","158","173","6:24","5:12","166","171","0,99","0,0","0,0","0,0","0,0","0,0","--","--","1:14:13","0:00","0,0","0:00","Não","03:30.65","12","0,0","01:14:12","01:14:13","20","116"
Corrida,2020-10-22 18:09:48,false,"6 x 1km com intervalo 3min parado","7,29","528","00:55:44","--","--","--","114","170","7:39","4:36","--","--","1,10","0,0","0,0","0,0","0,0","0,0","--","--","55:44","0:00","0,0","0:00","Não","00:01.54","14","0,0","00:47:54","00:55:44","--","--"
Corrida,2020-10-20 06:33:32,false,"Blumenau Corrida","10,01","731","00:59:07","--","--","--","162","171","5:54","5:26","75","85","1,04","0,0","0,0","0,0","0,0","0,0","--","--","59:07","0:00","0,0","0:00","Não","00:03.02","11","0,0","00:59:05","00:59:07","12","56"
Corrida,2020-10-18 08:25:22,false,"Blumenau - 4 x 2km com intervalo 3min caminhando","11,20","776","01:14:31","--","--","--","149","170","6:39","4:23","97","98","0,99","0,0","0,0","0,0","0,0","0,0","--","--","1:14:31","0:00","0,0","0:00","Não","03:00.00","10","0,0","01:14:30","01:14:31","15","60"
Corrida,2020-10-15 06:38:53,false,"Blumenau Corrida","10,01","720","00:56:38","--","--","--","157","173","5:40","4:48","66","67","1,12","0,0","0,0","0,0","0,0","0,0","--","--","56:38","0:00","0,0","0:00","Não","00:02.06","11","0,0","00:56:36","00:56:38","12","56"
Corrida,2020-10-13 06:55:16,false,"Blumenau - 8 x 600m com intervalo 2min caminhando","9,25","621","01:03:17","--","--","--","142","169","6:50","4:49","17","23","1,02","0,0","0,0","0,0","0,0","0,0","--","--","1:03:17","0:00","0,0","0:00","Não","02:00.00","18","0,0","01:03:16","01:03:17","12","28"
Corrida,2020-10-10 07:16:20,false,"Blumenau Corrida","10,01","718","00:59:33","--","--","--","159","173","5:57","3:55","118","125","1,05","0,0","0,0","0,0","0,0","0,0","--","--","59:33","0:00","0,0","0:00","Não","00:01.42","11","0,0","00:59:15","00:59:33","20","59"
Corrida,2020-10-06 06:44:21,false,"Blumenau Corrida","7,62","561","00:45:01","--","--","--","163","171","5:55","4:08","48","62","1,04","0,0","0,0","0,0","0,0","0,0","--","--","45:01","0:00","0,0","0:00","Não","03:27.49","8","0,0","00:44:53","00:45:01","12","56"
Corrida,2020-10-04 09:13:23,false,"Blumenau Corrida","10,01","730","00:57:39","--","--","--","164","173","5:46","5:02","57","59","1,06","0,0","0,0","0,0","0,0","0,0","--","--","57:39","0:00","0,0","0:00","Não","00:02.88","11","0,0","00:57:37","00:57:39","12","56"
Corrida,2020-10-01 06:44:56,false,"Blumenau - Progressivo - leve p/ forte","6,01","444","00:37:21","--","--","--","162","170","6:13","5:07","6","22","0,99","0,0","0,0","0,0","0,0","0,0","--","--","37:21","0:00","0,0","0:00","Não","00:03.76","4","0,0","00:37:19","00:37:21","12","29"
Corrida,2020-09-29 06:40:27,false,"Blumenau - Run Workout","9,01","665","00:55:23","--","--","--","162","171","6:09","4:43","10","17","1,00","0,0","0,0","0,0","0,0","0,0","--","--","55:23","0:00","0,0","0:00","Não","00:02.98","4","0,0","00:55:23","00:55:23","12","29"
Corrida,2020-09-27 07:52:59,false,"Blumenau - 10 x 1min Moderado/Forte - 2min leve","7,87","577","00:50:11","--","--","--","161","169","6:23","4:05","7","21","0,97","0,0","0,0","0,0","0,0","0,0","--","--","50:11","0:00","0,0","0:00","Não","00:07.58","22","0,0","00:50:10","00:50:11","12","29"
Corrida,2020-09-24 07:09:25,false,"Blumenau Corrida","8,03","579","00:47:55","--","--","--","160","173","5:58","4:25","82","83","1,05","0,0","0,0","0,0","0,0","0,0","--","--","47:55","0:00","0,0","0:00","Não","00:09.28","9","0,0","00:47:54","00:47:55","22","61"
Corrida,2020-09-22 07:12:19,false,"Blumenau Corrida","5,30","374","00:34:34","--","--","--","121","173","6:32","0:17","9","12","1,24","0,0","0,0","0,0","0,0","0,0","--","--","34:34","0:00","0,0","0:00","Não","00:03.91","22","0,0","00:26:42","00:34:36","12","23"
Corrida,2020-09-22 07:05:21,false,"Blumenau Corrida","1,06","76","00:06:36,7","--","--","--","155","162","6:16","5:42","--","8","1,03","0,0","0,0","0,0","0,0","0,0","--","--","6:36,7","0:00","0,0","0:00","Não","00:09.83","3","0,0","00:06:36,7","00:06:38,0","18","29"
Corrida,2020-09-20 08:21:23,false,"Blumenau Corrida","8,01","586","00:46:36","--","--","--","160","169","5:49","3:30","48","48","1,07","0,0","0,0","0,0","0,0","0,0","--","--","46:36","0:00","0,0","0:00","Não","00:02.36","9","0,0","00:46:34","00:46:36","12","56"
Corrida,2020-09-17 07:09:10,false,"Corrida","6,53","462","00:40:57","--","--","--","142","168","6:16","4:56","--","--","1,12","0,0","0,0","0,0","0,0","0,0","--","--","40:57","0:00","0,0","0:00","Não","00:01.79","18","0,0","00:39:43","00:41:00","--","--"
Corrida,2020-09-15 07:05:19,false,"Blumenau Corrida","5,10","372","00:30:03","--","--","--","157","164","5:54","5:32","18","21","1,08","0,0","0,0","0,0","0,0","0,0","--","--","30:03","0:00","0,0","0:00","Não","00:33.33","6","0,0","00:30:02","00:30:03","12","33"
Corrida,2020-09-10 07:08:57,false,"Blumenau Corrida","7,01","504","00:41:19","--","--","--","158","169","5:54","5:01","29","34","1,07","0,0","0,0","0,0","0,0","0,0","--","--","41:19","0:00","0,0","0:00","Não","00:02.74","8","0,0","00:41:17","00:41:19","12","37"
Corrida,2020-09-08 07:02:57,false,"8 x 400m com intervalo 2min caminhando","7,61","528","00:53:38","--","--","--","135","236","7:03","4:38","--","--","1,04","0,0","0,0","0,0","0,0","0,0","--","--","53:38","0:00","0,0","0:00","Não","00:02.94","19","0,0","00:52:43","00:53:55","--","--"
Corrida,2020-09-06 08:36:41,false,"Blumenau Corrida","7,01","517","00:40:46","--","--","--","159","170","5:49","1:10","68","71","1,08","0,0","0,0","0,0","0,0","0,0","--","--","40:46","0:00","0,0","0:00","Não","00:03.94","8","0,0","00:40:39","00:40:46","-3","59"
Corrida,2020-09-03 07:09:45,false,"Blumenau - Progressivo 3 etapas","6,01","435","00:34:16","--","--","--","157","169","5:42","3:25","8","14","1,11","0,0","0,0","0,0","0,0","0,0","--","--","34:16","0:00","0,0","0:00","Não","00:03.43","7","0,0","00:34:15","00:34:16","12","29"
Corrida,2020-09-01 07:12:23,false,"4 x 1km com intervalo 3min caminhando","5,87","406","00:41:47","--","--","--","132","160","7:07","5:07","--","--","1,04","0,0","0,0","0,0","0,0","0,0","--","--","41:47","0:00","0,0","0:00","Não","00:02.53","10","0,0","00:41:07","00:41:47","--","--"
Corrida,2020-08-29 07:59:57,false,"Blumenau Corrida","7,00","511","00:43:00","--","--","--","155","169","6:08","4:27","98","82","1,05","0,0","0,0","0,0","0,0","0,0","--","--","43:00","0:00","0,0","0:00","Não","00:01.62","8","0,0","00:42:59","00:43:00","22","60"
Corrida,2020-08-27 07:10:51,false,"Blumenau - 6 x 500m com intervalo 2min parado","5,24","375","00:39:19","--","--","--","115","176","7:30","0:52","9","11","1,12","0,0","0,0","0,0","0,0","0,0","--","--","39:19","0:00","0,0","0:00","Não","00:03.92","15","0,0","00:28:37","00:39:19","12","22"
Corrida,2020-08-25 07:15:46,false,"Blumenau Corrida","6,01","439","00:35:24","--","--","--","160","167","5:53","3:49","46","49","1,06","0,0","0,0","0,0","0,0","0,0","--","--","35:24","0:00","0,0","0:00","Não","00:01.95","7","0,0","00:35:22","00:35:24","21","54"
Corrida,2020-08-22 09:33:13,false,"Blumenau - Run Workout","6,04","446","00:39:17","177","191","4,9","153","168","6:30","4:45","96","73","1,00","0,0","0,0","0,0","0,0","0,0","--","--","39:17","0:00","0,0","0:00","Não","00:21.46","10","0,0","00:38:43","00:39:17","21","59"
Corrida,2020-08-20 07:08:44,false,"Corrida","5,01","333","00:30:45","171","182","4,0","152","158","6:08","5:39","--","--","1,08","0,0","0,0","0,0","0,0","0,0","--","--","30:45","0:00","0,0","0:00","Não","00:04.51","6","0,0","00:30:43","00:30:45","--","--"
Corrida,2020-08-18 07:07:53,false,"5 x 500m com intervalo 2min caminhando","4,51","320","00:32:50","158","179","3,4","132","158","7:17","5:14","--","--","1,03","0,0","0,0","0,0","0,0","0,0","--","--","32:50","0:00","0,0","0:00","Não","00:04.47","12","0,0","00:30:18","00:32:50","53","53"
Corrida,2020-08-15 09:13:51,false,"Corrida","5,01","335","00:29:07","177","190","4,5","153","159","5:49","5:24","--","--","1,12","0,0","0,0","0,0","0,0","0,0","--","--","29:07","0:00","0,0","0:00","Não","00:04.11","6","0,0","00:29:06","00:29:07","--","--"
Corrida,2020-08-13 17:37:19,false,"5 x 400m com intervalo 2min caminhando","3,89","277","00:27:25","162","187","3,5","132","160","7:02","4:31","--","--","1,06","0,0","0,0","0,0","0,0","0,0","--","--","27:25","0:00","0,0","0:00","Não","00:02.34","12","0,0","00:24:54","00:27:25","--","--"
Corrida,2020-08-11 07:09:15,false,"Blumenau Corrida","4,01","272","00:24:06","176","190","4,2","157","164","6:01","3:50","7","14","1,06","0,0","0,0","0,0","0,0","0,0","--","--","24:06","0:00","0,0","0:00","Não","00:03.34","5","0,0","00:24:06","00:24:06","12","29"
Corrida,2020-08-08 07:17:47,false,"Blumenau - Run Workout","3,01","205","00:18:48","173","188","3,6","157","165","6:15","3:57","13","19","1,02","0,0","0,0","0,0","0,0","0,0","--","--","18:48","0:00","0,0","0:00","Não","00:05.08","11","0,0","00:18:47","00:18:48","12","30"
Corrida,2020-08-06 07:15:12,false,"Blumenau Corrida","3,51","243","00:20:57","178","191","4,0","157","164","5:59","4:34","10","16","1,07","0,0","0,0","0,0","0,0","0,0","--","--","20:57","0:00","0,0","0:00","Não","03:00.08","4","0,0","00:20:56","00:20:57","12","33"
Corrida,2020-08-04 07:18:02,false,"Blumenau - Run Workout","3,90","296","00:28:25","165","185","3,7","141","164","7:17","4:10","26","21","0,96","0,0","0,0","0,0","0,0","0,0","--","--","28:25","0:00","0,0","0:00","Não","00:02.91","7","0,0","00:28:14","00:28:25","12","31"
Corrida,2020-08-02 08:46:30,false,"Blumenau Corrida","3,01","211","00:18:09","177","191","3,8","157","164","6:02","5:42","8","14","1,06","0,0","0,0","0,0","0,0","0,0","--","--","18:09","0:00","0,0","0:00","Não","00:03.33","4","0,0","00:18:08","00:18:09","12","29"
Corrida,2020-07-28 07:17:22,false,"Blumenau Corrida","3,01","207","00:18:14","173","189","3,6","156","162","6:03","5:41","5","16","1,06","0,0","0,0","0,0","0,0","0,0","--","--","18:14","0:00","0,0","0:00","Não","00:03.54","4","0,0","00:18:13","00:18:14","12","29"
Corrida,2020-07-26 08:56:06,false,"Blumenau Corrida","3,20","234","00:24:36","153","176","3,1","128","160","7:41","2:26","63","60","1,01","0,0","0,0","0,0","0,0","0,0","--","--","24:36","0:00","0,0","0:00","Não","02:59.17","8","0,0","00:24:34","00:24:36","11","37"
Corrida,2020-07-23 18:24:30,false,"Blumenau Corrida","2,51","171","00:16:08","161","177","3,1","152","158","6:26","4:11","81","88","1,01","0,0","0,0","0,0","0,0","0,0","--","--","16:08","0:00","0,0","0:00","Não","03:14.96","3","0,0","00:16:07","00:16:08","19","56"
Corrida,2020-07-21 06:59:19,false,"Blumenau - Run Workout","3,91","282","00:27:31","162","182","3,6","142","160","7:03","3:50","13","19","0,99","0,0","0,0","0,0","0,0","0,0","--","--","27:31","0:00","0,0","0:00","Não","00:03.15","7","0,0","00:27:31","00:27:31","12","28"
Corrida,2020-07-18 08:25:23,false,"Blumenau Corrida","2,01","140","00:11:55","174","191","3,2","155","162","5:56","2:00","4","12","1,08","0,0","0,0","0,0","0,0","0,0","--","--","11:55","0:00","0,0","0:00","Não","00:02.78","3","0,0","00:11:55","00:11:55","17","31"
Corrida,2020-07-16 18:20:29,false,"Run Workout","3,81","290","00:34:44","139","172","3,2","116","160","9:08","4:57","--","--","0,92","0,0","0,0","0,0","0,0","0,0","--","--","34:44","0:00","0,0","0:00","Não","00:03.23","10","0,0","00:32:12","00:34:44","--","--"
Corrida,2020-07-14 06:57:06,false,"Corrida","2,58","200","00:30:01","122","135","1,9","107","135","11:39","8:53","--","--","0,80","0,0","0,0","0,0","0,0","0,0","--","--","30:01","0:00","0,0","0:00","Não","07:00.73","3","0,0","00:29:27","00:30:01","--","--"
Corrida,2020-07-11 08:17:04,false,"Blumenau Corrida","2,01","141","00:11:39","176","190","3,3","157","162","5:48","4:50","--","6","1,10","0,0","0,0","0,0","0,0","0,0","--","--","11:39","0:00","0,0","0:00","Não","00:04.06","3","0,0","00:11:39","00:11:39","16","32"
Corrida,2020-07-09 07:01:05,false,"Blumenau - Run Workout","3,84","325","00:27:52","169","188","4,2","141","163","7:16","5:47","15","23","0,96","0,0","0,0","0,0","0,0","0,0","--","--","27:52","0:00","0,0","0:00","Não","00:04.85","7","0,0","00:27:50","00:27:52","12","31"
Corrida,2020-07-07 07:12:25,false,"Corrida","2,01","145","00:12:37","166","180","3,1","152","158","6:17","5:42","--","--","1,05","0,0","0,0","0,0","0,0","0,0","--","--","12:37","0:00","0,0","0:00","Não","00:02.55","3","0,0","00:12:33","00:12:37","--","--"
Corrida,2020-06-24 19:11:00,false,"Blumenau Corrida","1,95","142","00:12:31","--","--","--","149","160","6:24","3:36","13","11","1,05","0,0","0,0","0,0","0,0","0,0","--","--","12:31","0:00","0,0","0:00","Não","00:01.60","4","0,0","00:12:12","00:23:59","17","33"
Ciclismo,2020-06-22 06:55:17,false,"Blumenau Ciclismo","11,53","554","00:44:58","167","185","5,0","--","--","15,4","38,3","106","111","0,00","0,0","0,0","0,0","0,0","0,0","--","--","44:58","0:00","0,0","0:00","Não","10:01.20","3","0,0","00:42:07","00:44:58","15","58"
Corrida,2020-06-10 06:58:12,false,"Corrida","5,49","289","01:00:03","115","128","1,8","110","138","10:57","8:21","--","--","0,84","0,0","0,0","0,0","0,0","0,0","--","--","1:00:03","0:00","0,0","0:00","Não","05:30.44","6","0,0","00:58:28","01:00:03","--","--"
Corrida,2020-06-08 07:11:00,false,"Blumenau Corrida","4,77","256","00:39:38","134","165","2,8","116","164","8:19","5:18","16","19","1,04","0,0","0,0","0,0","0,0","0,0","--","--","39:38","0:00","0,0","0:00","Não","05:55.26","5","0,0","00:39:31","00:39:38","12","28"
Corrida,2020-06-03 06:58:10,false,"Blumenau - Run Workout","8,80","630","01:02:59","162","188","5,0","134","174","7:09","3:27","14","17","1,01","0,0","0,0","0,0","0,0","0,0","--","--","1:02:59","0:00","0,0","0:00","Não","01:30.00","22","0,0","01:02:44","01:02:59","14","30"
Corrida em esteira,2020-06-01 17:38:45,false,"Corrida","0,00","680","00:47:20","171","186","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","47:20","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:47:20","--","--"
Corrida,2020-05-29 17:54:44,false,"Corrida","0,00","794","01:00:58","163","181","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:58","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","01:00:58","--","--"
Corrida,2020-05-27 06:56:19,false,"Blumenau Corrida","8,58","756","00:54:06","169","181","--","--","--","6:19","3:08","95","100","0,00","0,0","0,0","0,0","0,0","0,0","--","--","54:06","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:52:43","00:56:03","12","56"
Corrida,2020-05-25 07:11:42,false,"Blumenau Corrida","1,90","147","00:19:00","128","143","--","--","--","10:01","8:32","15","5","0,00","0,0","0,0","0,0","0,0","0,0","--","--","19:00","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:19:00","00:19:00","12","28"
Corrida,2020-05-25 07:06:09,false,"Blumenau Corrida","1,00","64","00:04:22,2","174","180","--","--","--","4:22","3:54","1","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","4:22,2","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:22","00:04:22,2","12","16"
Corrida,2020-05-25 06:52:36,false,"Blumenau Corrida","1,46","80","00:12:56","118","160","--","--","--","8:52","5:52","3","17","0,00","0,0","0,0","0,0","0,0","0,0","--","--","12:56","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:12:56","00:12:56","12","26"
Corrida em esteira,2020-05-22 16:20:09,false,"Corrida","0,00","627","00:49:18","161","190","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","49:18","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:49:18","--","--"
Corrida,2020-05-20 17:22:39,false,"Blumenau Corrida","5,90","516","00:35:35","172","185","--","--","--","6:02","5:05","64","68","0,00","0,0","0,0","0,0","0,0","0,0","--","--","35:35","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:35:29","00:35:35","12","56"
Corrida,2020-05-17 08:35:35,false,"Blumenau Corrida","13,51","1.185","01:25:57","168","204","--","--","--","6:22","2:11","221","225","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:25:57","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:25:57","01:25:57","20","117"
Corrida em esteira,2020-05-15 18:08:07,false,"Corrida","0,00","557","00:40:12","168","180","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","40:12","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:40:12","--","--"
Corrida em esteira,2020-05-13 18:59:10,false,"Corrida","0,00","608","00:46:26","163","187","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","46:26","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:46:26","--","--"
Treino de força,2020-05-12 06:55:30,false,"Musculação","0,00","331","00:57:42","115","152","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","57:42","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:57:42","--","--"
Corrida,2020-05-11 06:59:45,false,"Blumenau Corrida","6,02","473","00:34:55","166","183","--","--","--","5:48","2:12","63","67","0,00","0,0","0,0","0,0","0,0","0,0","--","--","34:55","0:00","0,0","0:00","Não","00:10.37","4","0,0","00:32:12","00:34:55","22","55"
Corrida,2020-05-10 08:56:49,false,"Blumenau Corrida","12,82","1.125","01:18:55","171","182","--","--","--","6:09","2:23","188","192","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:18:55","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:18:55","01:18:55","20","117"
Corrida,2020-05-08 06:49:48,false,"Blumenau Corrida","4,71","538","00:41:37","164","184","--","--","--","8:50","1:00","75","75","0,00","0,0","0,0","0,0","0,0","0,0","--","--","41:37","0:00","0,0","0:00","Não","00:55.56","21","0,0","00:36:04","00:41:37","18","36"
Treino de força,2020-05-07 18:41:01,false,"Musculação","0,00","290","00:52:56","113","158","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","52:56","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:52:56","--","--"
